"Date","heure","co_centenario","no2_centenario","pm10_centenario","co_cordoba","no2_cordoba","pm10_cordoba","co_la_boca","no2_la_boca","pm10_la_boca"
17532,1,0.43,9,25,0.47,14,24,0.37,28,23
17532,2,0.44,11,27,0.53,20,24,0.39,28,26
17532,3,0.46,13,30,0.59,21,26,0.4,29,29
17532,4,0.47,14,32,0.65,20,28,0.41,25,30
17532,5,0.47,12,32,0.71,17,28,0.41,16,31
17532,6,0.44,12,33,0.74,16,29,0.39,12,32
17532,7,0.41,9,33,0.77,15,29,0.37,16,32
17532,8,0.37,8,33,0.79,14,29,0.34,14,32
17532,9,0.35,NA,33,0.78,16,29,0.32,12,32
17532,10,0.42,NA,34,0.73,7,28,0.3,10,32
17532,11,0.41,5,34,0.68,5,28,0.28,12,32
17532,12,0.4,5,35,0.62,4,28,0.26,12,31
17532,13,0.4,5,35,0.58,4,27,0.25,14,31
17532,14,0.39,6,35,0.55,6,27,0.24,18,31
17532,15,0.39,7,NA,0.53,8,26,0.24,16,30
17532,16,0.39,8,NA,0.52,8,26,0.23,18,30
17532,17,0.37,6,NA,0.51,7,26,0.24,15,30
17532,18,0.28,10,NA,0.51,6,25,0.23,20,30
17532,19,0.25,5,NA,0.52,9,26,0.23,20,31
17532,20,0.25,7,NA,0.54,10,26,0.24,25,31
17532,21,0.25,8,NA,0.56,10,27,0.25,22,31
17532,22,0.26,8,NA,0.57,13,26,0.26,23,30
17532,23,0.27,11,NA,0.58,13,25,0.28,23,29
17532,24,0.28,9,NA,0.6,15,25,0.29,24,28
17533,1,0.29,10,NA,0.62,16,24,0.3,22,26
17533,2,0.29,8,NA,0.63,9,23,0.31,19,22
17533,3,0.29,8,NA,0.63,8,21,0.31,14,19
17533,4,0.28,8,NA,0.62,8,19,0.31,16,18
17533,5,0.26,5,NA,0.6,11,18,0.31,19,17
17533,6,0.26,10,NA,0.6,11,18,0.32,24,17
17533,7,0.27,14,NA,0.59,10,17,0.34,23,17
17533,8,0.28,12,NA,0.6,13,17,0.36,23,17
17533,9,0.3,15,NA,0.62,14,17,0.38,22,18
17533,10,0.34,19,10,0.67,22,17,0.42,28,19
17533,11,0.35,21,12,0.73,29,17,0.44,30,19
17533,12,0.38,NA,13,0.8,31,18,0.45,31,20
17533,13,NA,NA,NA,0.87,30,19,0.45,29,21
17533,14,NA,NA,NA,0.92,24,19,0.44,27,21
17533,15,NA,NA,NA,0.98,26,20,0.41,29,22
17533,16,NA,NA,NA,1.01,27,20,0.38,30,23
17533,17,NA,NA,NA,1.03,26,21,0.38,33,25
17533,18,NA,NA,NA,1.02,27,22,0.36,34,26
17533,19,NA,NA,NA,1,24,23,0.37,31,27
17533,20,NA,NA,NA,0.98,25,24,0.36,28,27
17533,21,NA,NA,NA,0.95,22,24,0.35,31,29
17533,22,NA,NA,NA,0.93,21,26,0.35,33,31
17533,23,NA,NA,NA,0.92,22,28,0.34,19,33
17533,24,NA,NA,NA,0.9,20,30,0.32,12,36
17534,1,NA,NA,NA,0.86,17,31,0.3,23,37
17534,2,NA,NA,NA,0.81,14,31,0.26,30,37
17534,3,NA,NA,NA,0.76,16,32,0.22,32,37
17534,4,NA,NA,NA,0.71,15,32,0.21,35,38
17534,5,NA,NA,NA,0.67,13,32,0.22,28,38
17534,6,NA,NA,NA,0.63,18,32,0.24,23,38
17534,7,NA,NA,NA,0.58,22,32,0.28,25,38
